33.1s 247 Epoch:1/51 || Epochiter: 1/202 || Iter: 1/10302 || Loc: 4.5054 Cla: 10.6720 Landm: 19.9774 || LR: 0.00100000 || Batchtime: 16.3604 s || ETA: 1 day, 22:49:04
33.8s 248 Epoch:1/51 || Epochiter: 2/202 || Iter: 2/10302 || Loc: 4.4275 Cla: 9.7624 Landm: 19.8417 || LR: 0.00100000 || Batchtime: 0.6797 s || ETA: 1:56:41
34.5s 249 Epoch:1/51 || Epochiter: 3/202 || Iter: 3/10302 || Loc: 4.4975 Cla: 9.0939 Landm: 20.0337 || LR: 0.00100000 || Batchtime: 0.4938 s || ETA: 1:24:45
35.2s 250 Epoch:1/51 || Epochiter: 4/202 || Iter: 4/10302 || Loc: 4.4886 Cla: 8.6448 Landm: 19.8463 || LR: 0.00100000 || Batchtime: 0.5428 s || ETA: 1:33:10
36.4s 251 Epoch:1/51 || Epochiter: 5/202 || Iter: 5/10302 || Loc: 4.3663 Cla: 8.3811 Landm: 19.9244 || LR: 0.00100000 || Batchtime: 0.9173 s || ETA: 2:37:26
37.2s 252 Epoch:1/51 || Epochiter: 6/202 || Iter: 6/10302 || Loc: 4.4389 Cla: 7.8495 Landm: 19.2646 || LR: 0.00100000 || Batchtime: 0.6589 s || ETA: 1:53:04
38.1s 253 Epoch:1/51 || Epochiter: 7/202 || Iter: 7/10302 || Loc: 4.3199 Cla: 7.5114 Landm: 19.1015 || LR: 0.00100000 || Batchtime: 0.6884 s || ETA: 1:58:07
39.0s 254 Epoch:1/51 || Epochiter: 8/202 || Iter: 8/10302 || Loc: 4.1393 Cla: 7.2281 Landm: 19.2046 || LR: 0.00100000 || Batchtime: 0.7174 s || ETA: 2:03:06
40.0s 255 Epoch:1/51 || Epochiter: 9/202 || Iter: 9/10302 || Loc: 4.1907 Cla: 7.0036 Landm: 19.3162 || LR: 0.00100000 || Batchtime: 0.8172 s || ETA: 2:20:12
41.2s 256 Epoch:1/51 || Epochiter: 10/202 || Iter: 10/10302 || Loc: 4.3990 Cla: 6.4645 Landm: 19.4446 || LR: 0.00100000 || Batchtime: 0.9661 s || ETA: 2:45:44
42.3s 257 Epoch:1/51 || Epochiter: 11/202 || Iter: 11/10302 || Loc: 4.2882 Cla: 6.1446 Landm: 19.3614 || LR: 0.00100000 || Batchtime: 0.9154 s || ETA: 2:37:00
43.3s 258 Epoch:1/51 || Epochiter: 12/202 || Iter: 12/10302 || Loc: 4.2368 Cla: 6.1562 Landm: 18.7083 || LR: 0.00100000 || Batchtime: 0.7696 s || ETA: 2:11:59
44.2s 259 Epoch:1/51 || Epochiter: 13/202 || Iter: 13/10302 || Loc: 4.3119 Cla: 5.6070 Landm: 18.6520 || LR: 0.00100000 || Batchtime: 0.7146 s || ETA: 2:02:33
45.9s 260 Epoch:1/51 || Epochiter: 14/202 || Iter: 14/10302 || Loc: 3.9329 Cla: 5.6336 Landm: 18.3408 || LR: 0.00100000 || Batchtime: 1.4291 s || ETA: 4:05:04
46.9s 261 Epoch:1/51 || Epochiter: 15/202 || Iter: 15/10302 || Loc: 4.0092 Cla: 5.3273 Landm: 17.6406 || LR: 0.00100000 || Batchtime: 0.8394 s || ETA: 2:23:55
49.0s 262 Epoch:1/51 || Epochiter: 16/202 || Iter: 16/10302 || Loc: 3.8640 Cla: 5.0806 Landm: 17.2650 || LR: 0.00100000 || Batchtime: 1.9096 s || ETA: 5:27:23
49.9s 263 Epoch:1/51 || Epochiter: 17/202 || Iter: 17/10302 || Loc: 4.0405 Cla: 4.8565 Landm: 18.3119 || LR: 0.00100000 || Batchtime: 0.7139 s || ETA: 2:02:23
51.8s 264 Epoch:1/51 || Epochiter: 18/202 || Iter: 18/10302 || Loc: 3.8786 Cla: 4.8438 Landm: 17.2041 || LR: 0.00100000 || Batchtime: 1.6664 s || ETA: 4:45:39
52.8s 265 Epoch:1/51 || Epochiter: 19/202 || Iter: 19/10302 || Loc: 4.1147 Cla: 4.7830 Landm: 17.6796 || LR: 0.00100000 || Batchtime: 0.7446 s || ETA: 2:07:37
55.4s 266 Epoch:1/51 || Epochiter: 20/202 || Iter: 20/10302 || Loc: 3.8456 Cla: 4.5135 Landm: 16.8637 || LR: 0.00100000 || Batchtime: 2.4626 s || ETA: 7:02:02
56.2s 267 Epoch:1/51 || Epochiter: 21/202 || Iter: 21/10302 || Loc: 3.5724 Cla: 4.4464 Landm: 16.2833 || LR: 0.00100000 || Batchtime: 0.6285 s || ETA: 1:47:42
57.7s 268 Epoch:1/51 || Epochiter: 22/202 || Iter: 22/10302 || Loc: 3.5824 Cla: 4.3511 Landm: 16.1362 || LR: 0.00100000 || Batchtime: 1.2917 s || ETA: 3:41:20
58.6s 269 Epoch:1/51 || Epochiter: 23/202 || Iter: 23/10302 || Loc: 3.8555 Cla: 4.3495 Landm: 16.5263 || LR: 0.00100000 || Batchtime: 0.6536 s || ETA: 1:51:59
61.4s 270 Epoch:1/51 || Epochiter: 24/202 || Iter: 24/10302 || Loc: 3.7513 Cla: 4.0726 Landm: 16.5499 || LR: 0.00100000 || Batchtime: 2.6719 s || ETA: 7:37:44
62.3s 271 Epoch:1/51 || Epochiter: 25/202 || Iter: 25/10302 || Loc: 3.5722 Cla: 3.9639 Landm: 16.0726 || LR: 0.00100000 || Batchtime: 0.6120 s || ETA: 1:44:50
63.5s 272 Epoch:1/51 || Epochiter: 26/202 || Iter: 26/10302 || Loc: 3.5299 Cla: 4.0482 Landm: 15.5281 || LR: 0.00100000 || Batchtime: 0.9905 s || ETA: 2:49:39
64.8s 273 Epoch:1/51 || Epochiter: 27/202 || Iter: 27/10302 || Loc: 3.5756 Cla: 4.0946 Landm: 15.4738 || LR: 0.00100000 || Batchtime: 1.1870 s || ETA: 3:23:17
67.9s 274 Epoch:1/51 || Epochiter: 28/202 || Iter: 28/10302 || Loc: 3.4493 Cla: 3.9667 Landm: 14.6705 || LR: 0.00100000 || Batchtime: 2.8497 s || ETA: 8:08:00
68.7s 275 Epoch:1/51 || Epochiter: 29/202 || Iter: 29/10302 || Loc: 3.4057 Cla: 4.0018 Landm: 15.1728 || LR: 0.00100000 || Batchtime: 0.6244 s || ETA: 1:46:54
69.9s 276 Epoch:1/51 || Epochiter: 30/202 || Iter: 30/10302 || Loc: 3.4685 Cla: 3.9162 Landm: 15.5344 || LR: 0.00100000 || Batchtime: 1.0289 s || ETA: 2:56:09
71.2s 277 Epoch:1/51 || Epochiter: 31/202 || Iter: 31/10302 || Loc: 3.1850 Cla: 3.8655 Landm: 14.4040 || LR: 0.00100000 || Batchtime: 1.0972 s || ETA: 3:07:50
74.2s 278 Epoch:1/51 || Epochiter: 32/202 || Iter: 32/10302 || Loc: 3.5563 Cla: 3.8703 Landm: 15.3336 || LR: 0.00100000 || Batchtime: 2.7912 s || ETA: 7:57:48
75.2s 279 Epoch:1/51 || Epochiter: 33/202 || Iter: 33/10302 || Loc: 3.3069 Cla: 3.7366 Landm: 15.0160 || LR: 0.00100000 || Batchtime: 0.7501 s || ETA: 2:08:23
